key,ko,en
speeddemon,속도광,
artisan,장인,
dextrous,민첩한,
fastreader,속독,
firstaid,응급처치,
gardener,정원사,
inventive,창의적,
irongut,강철 위장,
lighteater,소식가,
lowthirst,낮은 갈증,
mason,석공,
nutritionist,영양사,
outdoorsman,등산애호가,
whittler,조각가,
nightvision,고양이의 눈,
crafty,재주꾼,
cook,요리,
mechanics,정비,
needslesssleep,잠이 없는,
adrenalinejunkie,아드레날린 중독,
fishing,낚시꾼,
baseballplayer,야구선수,
brave,용감한,
eagleeyed,매의 눈,
graceful,우아함,
herbalist,약초꾼,
inconspicuous,부족한 존재감,
organized,정리쟁이,
resilient,강한 회복력,
jogger,조깅을 즐기는,
tailor,재단술,
tinkerer,땜장이,
gymnast,체조선수,
hiker,도보 여행자,
target_shooter,사격수,
blacksmith,대장장이 기술,
brawler,싸움꾼,
fasthealer,빠른 회복,
fastlearner,현자,
fit,건강한,
formerscout,정찰병 경험,
keenhearing,예민한 청력,
stout,통통함,
handy,능숙함,
hunter,사냥꾼,
thickskinned,두꺼운 피부,
wildernessknowledge,황야 지식,
athletic,육상 선수,
strong,튼튼함,
sundaydriver,초보 운전,
allthumbs,서투른,
clumsy,덤벙댐,
cowardly,겁쟁이,
weightloss,빠른 신진대사,
weightgain,느린 신진대사,
highthirst,높은 갈증,
shortsighted,짧은 시야,
slowreader,정독,
weakstomach,소화불량,
slowhealer,느린 치유,
smoker,골초,
agoraphobic,광장 공포증,
claustrophobic,밀실 공포증,
conspicuous,넘치는 존재감,
hardofhearing,어두운 귀,
heartyappetite,대식가,
pronetoillness,질병에 취약함,
needsmoresleep,잠꾸러기,
asthmatic,천식환자,
hemophobic,피 공포증,
pacifist,평화주의자,
disorganized,비체계적인,
feeble,연약함,
out of shape,건강 이상,
insomniac,수면장애,
slowlearner,느린 학습,
thinskinned,얇은 피부,
illiterate,문맹,
weak,약함,
unfit,비실함,
deaf,청각장애,
